,Country,isocode
175,Reunion,REU
176,Romania,ROU
177,Russian Federation,RUS
178,Rwanda,RWA
179,Saint Kitts and Nevis,KNA
180,Saint Lucia,LCA
181,Saint Vincent & Grenadines,VCT
182,Samoa,WSM
183,San Marino,SMR
184,Sao Tome and Principe,STP
185,Saudi Arabia,SAU
186,Senegal,SEN
187,Seychelles,SYC
188,Sierra Leone,SLE
189,Singapore,SGP
190,Slovakia (Slovak Republic),SVK
191,Slovenia,SVN
192,Solomon Islands,SLB
193,Somalia,SOM
194,South Africa,ZAF
195,South Georgia & South Sandwich Islands,SGS
196,Spain,ESP
197,Sri Lanka,LKA
198,St. Helena,SHN
199,St. Pierre and Miquelon,SPM
200,Sudan,SDN
201,Suriname,SUR
202,Svalbard & Jan Mayen Islands,SJM
203,Swaziland,SWZ
204,Sweden,SWE
205,Switzerland,CHE
206,Syrian Arab Republic,SYR
207,Taiwan,TWN
208,Tajikistan,TJK
209,"Tanzania, United Republic",TZA
210,Thailand,THA
211,Togo,TGO
212,Tokelau,TKL
213,Tonga,TON
214,Trinidad and Tobago,TTO
215,Tunisia,TUN
216,Turkey,TUR
217,Turkmenistan,TKM
218,Turks and Caicos Islands,TCA
219,Tuvalu,TUV
220,Uganda,UGA
221,Ukraine,UKR
222,United Arab Emirates,ARE
223,United Kingdom,GBR
224,United States of America,USA
225,United States Minor Outlying Islands,UMI
226,Uruguay,URY
227,Uzbekistan,UZB
228,Vanuatu,VUT
229,Vatican City State (Holy See),VAT
230,Venezuela,VEN
231,Viet Nam,VNM
232,Virgin Islands (British),VGB
233,Virgin Islands (U.S.),VIR
234,Wallis and Futuna Islands,WLF
235,Western Sahara,ESH
236,Yemen,YEM
237,Yugoslavia,YUG
238,Zambia,ZMB
239,Zimbabwe,ZWE
240, ,SOM
